codauto;ccaa;cpro;provincia;sexo;grupo_edad;ola;num_def;num_casos;num_hosp;num_uci;poblacion_total;lat_prov;long_prov;long_ccaa;lat_ccaa
16;País Vasco;01;Araba/Álava;NC;10-19;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;10-19;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;20-29;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;20-29;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;20-29;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;30-39;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;30-39;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;30-39;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;40-49;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;40-49;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;40-49;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;50-59;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;50-59;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;50-59;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;60-69;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;60-69;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;60-69;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;70-79;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;70-79;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;70-79;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;80+;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;80+;segunda_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;80+;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;NC;primera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;NC;segunda_etapa;0;1;0;0;NA;42,835;-2,720;-2,60;43,0
16;País Vasco;01;Araba/Álava;NC;NC;tercera_etapa;0;0;0;0;NA;42,835;-2,720;-2,60;43,0
08;Castilla-La Mancha;02;Albacete;Hombres;0-9;primera_etapa;0;7;3;1;17947;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;0-9;segunda_etapa;0;457;3;2;17947;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;0-9;tercera_etapa;0;396;0;0;17947;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;10-19;primera_etapa;0;6;2;0;20756;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;10-19;segunda_etapa;0;821;3;0;20756;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;10-19;tercera_etapa;0;613;3;0;20756;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;20-29;primera_etapa;0;34;8;0;22540;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;20-29;segunda_etapa;0;922;6;0;22540;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;20-29;tercera_etapa;0;663;3;0;22540;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;30-39;primera_etapa;0;103;35;1;25426;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;Hombres;30-39;segunda_etapa;0;933;15;1;25426;38,825;-1,980;-3,00;39,5
